[ 2016-02-28 00:49:03 / pinkman02    /  39314 /     77 ]: entry point: strata cleanup
[ 2016-02-28 00:49:08 / pinkman02    /  39475 /     76 ]: entry point: strata continue
[ 2016-02-28 00:50:19 / pinkman02    /  39475 /    163 ]: task end: 'initial search for sarxl_r32_r32_r32 with budget=770497' with result 'Initial search timeout'
[ 2016-02-28 00:51:18 / pinkman02    /  39475 /    163 ]: task end: 'initial search for shlxl_r32_r32_r32 with budget=669188' with result 'Initial search timeout'
[ 2016-02-28 00:51:30 / pinkman02    /  39475 /     87 ]: task end: 'initial search for vfnmadd213pd_xmm_xmm_xmm with budget=1167486' with result 'Initial search timeout'
[ 2016-02-28 00:51:32 / pinkman02    /  39475 /    167 ]: task end: 'initial search for vfnmsub231pd_xmm_xmm_xmm with budget=1256193' with result 'Initial search timeout'
[ 2016-02-28 00:51:34 / pinkman02    /  39475 /    163 ]: verification for rorb_rh_one: counterexample
[ 2016-02-28 00:51:34 / pinkman02    /  39475 /    163 ]: search bug for rorb_rh_one
[ 2016-02-28 00:51:34 / pinkman02    /  39475 /    163 ]: task end: 'initial search for rorb_rh_one with budget=329596' with result 'Initial search err'
[ 2016-02-28 00:51:34 / pinkman02    /  39475 /     95 ]: task end: 'initial search for vpabsd_xmm_xmm with budget=1270598' with result 'Initial search timeout'
[ 2016-02-28 00:51:36 / pinkman02    /  39475 /    174 ]: task end: 'initial search for blsrl_r32_r32 with budget=1788853' with result 'Initial search timeout'
[ 2016-02-28 00:51:51 / pinkman02    /  39475 /    114 ]: task end: 'initial search for vpcmpgtb_xmm_xmm_xmm with budget=1346930' with result 'Initial search timeout'
[ 2016-02-28 00:51:55 / pinkman02    /  39475 /    161 ]: task end: 'initial search for vpminud_xmm_xmm_xmm with budget=1511736' with result 'Initial search timeout'
[ 2016-02-28 00:52:55 / pinkman02    /  39475 /    110 ]: task end: 'initial search for rclw_r16_cl with budget=2599497' with result 'Initial search timeout'
[ 2016-02-28 00:52:56 / pinkman02    /  39475 /    174 ]: task end: 'initial search for vpaddusw_xmm_xmm_xmm with budget=656303' with result 'Initial search timeout'
[ 2016-02-28 00:53:05 / pinkman02    /  39475 /    171 ]: task end: 'initial search for pcmpeqw_xmm_xmm with budget=2546149' with result 'Initial search timeout'
[ 2016-02-28 00:53:37 / pinkman02    /  39475 /    163 ]: task end: 'initial search for phsubw_xmm_xmm with budget=1298254' with result 'Initial search timeout'
[ 2016-02-28 00:53:58 / pinkman02    /  39475 /     84 ]: task end: 'initial search for vpmovmskb_r64_ymm with budget=3037294' with result 'Initial search timeout'
[ 2016-02-28 00:53:59 / pinkman02    /  39475 /     95 ]: task end: 'initial search for pmovsxwq_xmm_xmm with budget=1220331' with result 'Initial search timeout'
[ 2016-02-28 00:54:51 / pinkman02    /  39475 /    174 ]: task end: 'initial search for paddusb_xmm_xmm with budget=1239740' with result 'Initial search timeout'
[ 2016-02-28 00:55:22 / pinkman02    /  39475 /     90 ]: task end: 'initial search for vpminud_ymm_ymm_ymm with budget=3795603' with result 'Initial search timeout'
[ 2016-02-28 00:55:46 / pinkman02    /  39475 /    215 ]: task end: 'initial search for vpcmpgtw_ymm_ymm_ymm with budget=3404686' with result 'Initial search timeout'
[ 2016-02-28 00:58:09 / pinkman02    /  39475 /    114 ]: task end: 'initial search for vpmaddwd_xmm_xmm_xmm with budget=3556120' with result 'Initial search timeout'
[ 2016-02-28 00:58:37 / pinkman02    /  39475 /    214 ]: task end: 'initial search for vfnmsub132sd_xmm_xmm_xmm with budget=4976173' with result 'Initial search timeout'
[ 2016-02-28 01:00:56 / pinkman02    /  39475 /     88 ]: task end: 'initial search for vcomisd_xmm_xmm with budget=7888046' with result 'Initial search timeout'
[ 2016-02-28 01:01:31 / pinkman02    /  39475 /    218 ]: task end: 'initial search for vpaddusb_ymm_ymm_ymm with budget=6669244' with result 'Initial search timeout'
[ 2016-02-28 01:01:46 / pinkman02    /  39475 /    214 ]: task end: 'initial search for roll_r32_cl with budget=2152268' with result 'Initial search timeout'
[ 2016-02-28 01:03:02 / pinkman02    /  39475 /    163 ]: task end: 'initial search for addsubps_xmm_xmm with budget=5570153' with result 'Initial search timeout'
[ 2016-02-28 01:03:46 / pinkman02    /  39475 /     88 ]: task end: 'initial search for pextl_r32_r32_r32 with budget=1993386' with result 'Initial search timeout'
[ 2016-02-28 01:05:25 / pinkman02    /  39475 /     95 ]: task end: 'initial search for vpmaxub_xmm_xmm_xmm with budget=6929743' with result 'Initial search timeout'
[ 2016-02-28 01:06:08 / pinkman02    /  39475 /    215 ]: task end: 'initial search for sarl_r32_cl with budget=6551951' with result 'Initial search timeout'
[ 2016-02-28 01:08:03 / pinkman02    /  39475 /     84 ]: task end: 'initial search for vpshufb_ymm_ymm_ymm with budget=7404034' with result 'Initial search timeout'
[ 2016-02-28 01:08:23 / pinkman02    /  39475 /     92 ]: task end: 'initial search for salw_r16_cl with budget=13243296' with result 'Initial search timeout'
